map.total.abismal	map.total.bismark	map.total.bsmap	map.total.bwa	map.total.hisat_3n	map.total.walt	sam.err.rate.abismal	sam.err.rate.bismark	sam.err.rate.bsmap	sam.err.rate.bwa	sam.err.rate.hisat_3n	sam.err.rate.walt	bs.conv.tot.abismal	bs.conv.tot.bismark	bs.conv.tot.bsmap	bs.conv.tot.bwa	bs.conv.tot.hisat_3n	bs.conv.tot.walt	c.cov.abismal	c.cov.bismark	c.cov.bsmap	c.cov.bwa	c.cov.hisat_3n	c.cov.walt	c.depth.abismal	c.depth.bismark	c.depth.bsmap	c.depth.bwa	c.depth.hisat_3n	c.depth.walt	c.meth.mean.abismal	c.meth.mean.bismark	c.meth.mean.bsmap	c.meth.mean.bwa	c.meth.mean.hisat_3n	c.meth.mean.walt	c.meth.weigh.abismal	c.meth.weigh.bismark	c.meth.weigh.bsmap	c.meth.weigh.bwa	c.meth.weigh.hisat_3n	c.meth.weigh.walt	c.meth.frac.abismal	c.meth.frac.bismark	c.meth.frac.bsmap	c.meth.frac.bwa	c.meth.frac.hisat_3n	c.meth.frac.walt	cpg.cov.abismal	cpg.cov.bismark	cpg.cov.bsmap	cpg.cov.bwa	cpg.cov.hisat_3n	cpg.cov.walt	cpg.depth.abismal	cpg.depth.bismark	cpg.depth.bsmap	cpg.depth.bwa	cpg.depth.hisat_3n	cpg.depth.walt	cpg.meth.mean.abismal	cpg.meth.mean.bismark	cpg.meth.mean.bsmap	cpg.meth.mean.bwa	cpg.meth.mean.hisat_3n	cpg.meth.mean.walt	cpg.meth.weigh.abismal	cpg.meth.weigh.bismark	cpg.meth.weigh.bsmap	cpg.meth.weigh.bwa	cpg.meth.weigh.hisat_3n	cpg.meth.weigh.walt	cpg.meth.frac.abismal	cpg.meth.frac.bismark	cpg.meth.frac.bsmap	cpg.meth.frac.bwa	cpg.meth.frac.hisat_3n	cpg.meth.frac.walt
Brocks (hg38)	96.749	96.317	96.793	89.206	95.555	92.392	0.552	0.612	0.593	0.574	0.576	0.42	99.864	99.868	99.868	99.869	99.635	99.867	81.754	81.774	81.524	81.75	81.831	80.137	2.85095	2.84583	2.84421	2.86333	2.83406	2.77462	2.809	2.791	2.818	2.788	2.922	2.819	3.498	3.472	3.514	3.461	3.73	3.501	2.648	2.629	2.662	2.629	2.742	2.653	76.78	76.65	76.618	76.452	77.149	75.14	2.63419	2.63404	2.63042	2.64331	2.62092	2.57435	54.243	53.891	54.438	54.039	54.224	54.097	52.966	52.606	53.188	52.708	53.053	52.86	56.103	55.693	56.307	55.855	56.09	55.859
Dunaway (hg38)	96.422	96.633	96.006	81.978	95.164	92.566	0.489	0.692	0.476	0.494	0.641	0.584	99.102	99.109	99.11	99.109	97.736	99.109	60.281	60.065	59.876	60.072	60.348	58.934	2.49495	2.49292	2.48186	2.49279	2.51204	2.44792	5.886	5.848	5.923	5.836	6.262	5.888	7.967	7.855	7.992	7.821	9.188	7.858	5.484	5.445	5.522	5.431	5.865	5.487	69.29	68.544	68.965	68.327	69.761	67.417	2.84624	2.84314	2.82468	2.83635	2.83995	2.77768	78.015	77.728	78.418	77.775	77.885	77.828	74.239	73.701	74.635	73.756	74.403	73.93	80.829	80.504	81.079	80.528	80.784	80.509
Manakov (mm10)	84.296	84.57	85.262	72.69	83.365	75.702	1.134	1.367	1.27	1.192	1.277	0.807	97.463	97.493	97.53	97.437	97.295	97.581	85.541	85.68	85.308	85.532	86.169	83.634	3.58642	3.59588	3.57718	3.67072	3.54853	3.29695	5.443	5.397	5.384	5.452	5.679	5.34	6.737	6.714	6.683	6.75	6.899	6.631	3.627	3.605	3.606	3.6	3.876	3.645	85.404	85.45	85.254	85.258	85.996	83.521	3.54054	3.56812	3.53549	3.62387	3.51177	3.26089	73.273	73.062	73.282	73.16	73.245	73.149	74.203	73.991	74.259	74.152	74.179	74.151	79.85	79.64	79.898	79.788	79.808	79.484
Passaro (mm10)	95.691	96.495	95.34	80.975	94.867	80.41	0.99	1.183	1.223	1.013	1.157	0.602	98.5	98.528	98.529	98.502	98.356	98.586	7.777	7.878	7.577	7.884	7.771	6.614	8.1606	8.19041	8.11846	8.21757	8.07274	7.79613	4.626	4.544	4.553	4.58	5.181	4.506	4.088	4.064	4.058	4.078	4.236	4.091	3.857	3.814	3.813	3.828	4.384	3.793	10.887	10.981	10.739	10.966	10.88	9.847	10.1252	10.2528	10.0554	10.2794	10.0823	9.44826	43.621	43.569	43.122	43.6	43.697	42.442	35.498	35.383	35.207	35.371	35.5	35.543	43.871	43.818	43.343	43.846	43.959	42.632
Mendoza (danre11)	92.297	92.654	91.55	67.92	88.652	81.011	1.561	1.891	1.687	1.607	1.658	1.177	99.12	99.136	99.135	99.141	98.755	99.172	64.603	65.828	63.96	64.384	65.997	62.536	4.57985	4.57325	4.50363	4.65998	4.41658	4.13616	8.536	8.5	8.55	8.478	9.014	8.598	10.829	10.721	10.876	10.703	11.199	10.931	8.296	8.265	8.311	8.244	8.719	8.354	61.874	62.912	61.307	61.472	63.582	59.828	4.16276	4.14348	4.10886	4.21583	4.00661	3.79356	79.75	79.191	79.984	79.437	80.01	80.133	79.638	79.306	79.856	79.393	79.945	80.15	85.276	84.729	85.338	84.988	85.45	85.381
Zhang (galgal6)	96.354	97.403	95.499	92.07	95.542	82.936	1.004	1.175	1.138	0.992	1.16	0.661	99.413	99.412	99.42	99.418	98.82	99.429	82.643	83.066	81.755	82.78	82.904	79.796	6.08809	6.1537	5.94589	6.14474	6.08944	5.44727	3.738	3.768	3.712	3.73	4.022	3.78	4.627	4.775	4.527	4.64	5.269	4.643	3.353	3.387	3.325	3.346	3.624	3.402	65.921	66.953	65.011	66.035	66.649	63.254	5.41136	5.59941	5.22134	5.4868	5.44157	4.86039	61.048	60.998	60.808	60.924	61.432	61.925	65.997	66.141	65.625	65.991	66.536	66.697	66.226	66.214	65.903	66.082	66.717	67.102
Shahryary (tair10)	94.953	95.94	94.751	87.174	94.722	86.86	0.566	0.75	0.598	0.602	0.846	0.295	97.494	97.466	97.539	97.499	97.453	97.583	97.462	97.475	97.244	97.155	97.915	97.039	29.801	30.0517	29.5354	30.0701	29.4841	27.7614	6.194	6.207	6.179	6.172	6.333	6.112	5.864	5.894	5.812	5.845	5.913	5.794	5.264	5.26	5.261	5.235	5.394	5.241	97.213	97.171	96.952	96.886	97.624	96.755	26.4672	26.7097	26.2629	26.724	26.2254	24.8181	26.818	26.835	26.811	26.748	27.084	26.692	21.917	21.956	21.813	21.824	21.997	21.818	29.558	29.539	29.548	29.458	29.808	29.361
Bernstein (hg38)	84.864	86.973	84.029	79.258	76.449	74.046	0.934	1.272	1.171	0.94	1.122	1.113	99.497	99.507	99.493	99.432	98.109	99.457	64.547	65.045	65.578	65.172	66.248	64.603	5.42103	5.43096	5.61091	6.29428	5.51423	5.44995	5.394	5.672	5.631	5.525	6.043	5.665	8.987	9.461	9.497	8.948	10.754	9.376	5.501	5.702	5.667	5.535	6.06	5.664	79.447	80.66	80.98	79.091	82.338	79.689	6.97455	6.93737	7.22657	7.70057	6.98065	6.89604	76.806	79.02	78.787	77.747	79.537	78.554	74.752	77.189	77.14	77.364	78.238	77.262	84.356	85.435	85.496	84.512	85.721	85.177
Tycko (hg38)	95.593	95.544	93.791	90.987	86.058	48.139	0.833	3.183	2.59	0.974	2.769	1.594	97.743	96.868	97.02	97.822	96.839	97.505	69.27	69.823	67.92	69.711	69.64	61.817	1.95123	1.94547	1.92803	2.75044	1.96545	1.76112	6.114	6.966	6.817	6.379	6.899	6.395	7.161	7.999	7.905	7.103	8.062	7.379	5.04	5.513	5.449	5.395	5.466	5.364	65.655	66.217	64.709	66.011	66.602	58.431	1.95647	1.94039	1.93798	2.68769	1.98397	1.76517	74.681	74.68	75.276	75.269	75.062	74.576	72.868	73.096	73.563	74.717	73.346	73.159	77.969	78.005	78.495	77.582	78.407	77.409
Roadmap (hg38)	92.337	93.86	92.349	85.232	90.674	85.937	0.519	0.584	0.544	0.523	0.584	0.522	99.59	99.594	99.585	99.598	98.331	99.593	60.364	60.62	57.675	59.522	61.592	60.145	5.89518	5.89043	5.89358	6.15434	5.91927	5.82466	5.557	5.645	5.681	5.575	6.002	5.643	8.386	8.497	8.582	8.192	9.591	8.461	5.563	5.624	5.656	5.564	5.986	5.616	76.078	76.524	73.095	74.293	78.05	75.826	7.60927	7.58009	7.5448	7.67424	7.51897	7.43497	75.368	76.119	76.272	75.77	76.186	75.965	67.45	68.061	68.771	68.512	68.534	68.362	80.962	81.309	81.449	80.773	81.398	81.206
